country,id,ppp,departures
Afghanistan,AFG,1470.00,
Albania,ALB,7860.20,3066625
Algeria,DZA,11757.47,1672727
Angola,AGO,4442.31,3000
Antigua and Barbuda,ATG,19444.42,
Argentina,ARG,16512.41,5177045
Armenia,ARM,5314.77,577882
Aruba,ABW,35973.78,
Australia,AUS,38501.44,5470364
Austria,AUT,40925.09,9609647
Azerbaijan,AZE,10015.33,2252857
Bahamas,BHS,30538.52,
Bahrain,BHR,42944.14,4741000
Bangladesh,BGD,2132.35,1466158
Barbados,BRB,15848.48,
Belarus,BLR,11917.30,726955
Belgium,BEL,38803.39,8667714
Belize,BLZ,7405.07,
Benin,BEN,1764.19,
Bermuda,BMU,52518.94,160750
Bhutan,BTN,5106.17,
Bolivia,BOL,5054.15,503864
Bosnia and Herzegovina,BIH,7939.42,
Botswana,BWA,12231.11,
Brazil,BRA,12891.11,5155909
British Virgin Islands,VGB,,144625
Brunei,BRN,81658.37,
Bulgaria,BGR,12627.17,3777091
Burkina Faso,BFA,1281.05,
Burundi,BDI,765.74,26714
Cambodia,KHM,2078.41,480273
Cameroon,CMR,2828.10,
Canada,CAN,39143.23,24025318
Cape Verde,CPV,4693.88,
Cayman Islands,CYM,49903.03,
Central African Republic,CAF,621.57,
Chad,TCD,1535.66,62364
Chile,CHL,17424.08,2169306
China,CHN,7120.86,45883455
Colombia,COL,10030.49,2032095
Comoros,COM,1432.71,
Congo,COG,4836.85,170500
Costa Rica,CRI,11667.14,535545
Cote d'Ivoire,CIV,2867.44,
Croatia,HRV,18427.41,2463333
Cuba,CUB,,211409
Cyprus,CYP,31264.24,884182
Czech Republic,CZE,25306.46,6965357
Democratic Republic of Congo,COD,666.34,50000
Denmark,DNK,43150.57,6354952
Djibouti,DJI,2705.41,
Dominica,DMA,9041.20,
Dominican Republic,DOM,9712.40,383818
Ecuador,ECU,8846.32,756500
Egypt,EGY,8412.91,4103000
El Salvador,SLV,6102.95,1125714
Eritrea,ERI,1631.69,
Estonia,EST,21008.77,1332200
Ethiopia,ETH,902.29,126500
Fiji,FJI,7247.10,104895
Finland,FIN,37003.83,6441591
France,FRA,35710.61,22409318
French Polynesia,PYF,,78778
Gabon,GAB,17283.18,200333
Gambia,GMB,1533.49,347000
Georgia,GEO,5428.21,1450429
Germany,DEU,38925.26,81824400
Ghana,GHA,2807.28,
Greece,GRC,26287.66,4993667
Grenada,GRD,10521.54,
Guatemala,GTM,6441.97,750500
Guinea,GIN,1535.62,
Guinea-Bissau,GNB,1428.97,
Guyana,GUY,5328.03,
Haiti,HTI,1638.41,
Honduras,HND,3746.98,335810
Hong Kong,HKG,41869.98,74320211
Hungary,HUN,20885.11,14996364
Iceland,ISL,38063.39,334000
India,IND,3584.32,9545682
Indonesia,IDN,7522.15,5481412
Iran,IRN,15367.07,3466273
Iraq,IRQ,11767.79,
Ireland,IRL,43117.97,5537909
Israel,ISR,27897.65,3923182
Italy,ITA,35876.74,25472238
Jamaica,JAM,8200.35,
Japan,JPN,35195.34,16597273
Jordan,Jordan,8351.18,1647526
Kazakhstan,KAZ,16034.84,4069158
Kenya,KEN,2367.30,
Kiribati,KIR,1891.48,
Kuwait,KWT,78925.71,1629154
Kyrgyzstan,KGZ,2493.93,635150
Laos,LAO,3549.50,2547000
Latvia,LVA,16444.62,2393500
Lebanon,LBN,13438.65,
Lesotho,LSO,2117.00,
Liberia,LBR,663.10,
Libya,LBY,22453.12,542333
Liechtenstein,LIE,,
Lithuania,LTU,18420.41,2321190
Luxembourg,LUX,85353.50,1185050
Macao,MAC,74697.44,983500
Macedonia,MKD,9939.84,
Madagascar,MDG,1397.46,39000
Malawi,MWI,928.26,
Malaysia,MYS,19229.40,28144600
Maldives,MDV,11030.13,55929
Mali,MLI,1695.28,
Malta,MLT,26659.27,257364
Marshall Islands,MHL,3290.45,
Mauritius,MUS,13642.42,186727
Mexico,MEX,15631.22,13404409
Micronesia,FSM,3176.53,
Moldova,MDA,3395.90,89291
Monaco,MCO,,
Mongolia,MNG,6962.22,
Montenegro,MNE,12731.61,
Morocco,MAR,5620.77,1907682
Mozambique,MOZ,771.32,
Myanmar,MMR,2675.10,
Namibia,NAM,7546.44,
Nauru,NRU,8491.89,
Nepal,NPL,1778.07,396105
Netherlands,NLD,43016.22,16349136
New Caledonia,NCL,,96136
New Zealand,NZL,30606.56,1720545
Nicaragua,NIC,3873.84,701864
Niger,NER,809.29,10000
Nigeria,NGA,4120.27,
North Korea,PRK,,
Northern Mariana Islands,MNP,,
Norway,NOR,60386.89,4694100
Oman,OMN,42247.52,2613000
Pakistan,PAK,3978.51,
Palau,PLW,13053.54,9000
Palestine,PSE,4088.52,
Panama,PAN,13854.67,360045
Papua New Guinea,PNG,3041.44,60000
Paraguay,PRY,6886.87,374591
Peru,PER,8512.57,1581409
Philippines,PHL,5098.96,2192333
Poland,POL,18363.98,45392909
Portugal,PRT,25877.79,10144875
Puerto Rico,PRI,32787.48,1151182
Qatar,QAT,117430.65,
Reunion,REU,,
Romania,ROU,15089.12,9119864
Russia,RUS,19243.30,28618000
Rwanda,RWA,1142.68,
Saint Helena,SHN,,
Saint Kitts and Nevis,KNA,21023.09,
Saint Lucia,LCA,11529.37,
Saint Vincent and the Grenadines,VCT,8975.82,
Samoa,WSM,5008.73,53824
San Marino,SMR,73117.61,
Sao Tome and Principe,STP,2501.52,
Saudi Arabia,SAU,45458.04,11276918
Senegal,SEN,2050.84,
Serbia,SRB,10728.09,
Seychelles,SYC,19707.99,46455
Sierra Leone,SLE,1132.28,55450
Singapore,SGP,62450.90,5906727
Sint Maarten (Dutch part),SXM,36327.23,
Slovakia,SVK,20995.37,2977083
Slovenia,SVN,25775.12,2528588
Solomon Islands,SLB,1970.11,
South Africa,ZAF,10848.41,
South Korea,KOR,25853.62,10140455
South Sudan,SSD,2040.97,
Spain,ESP,30931.17,8551955
Sri Lanka,LKA,7288.56,846773
Sudan,SDN,3018.58,195000
Suriname,SUR,12285.52,
Swaziland,SWZ,6718.39,1353833
Sweden,SWE,39888.53,12563579
Switzerland,CHE,52906.56,11665500
Syria,SYR,,3738125
Tajikistan,TJK,1771.33,11171
Tanzania,TZA,1861.12,152500
Thailand,THA,11812.36,3746000
Timor,TLS,6998.55,
Togo,TGO,1254.31,
Tonga,TON,4790.26,
Trinidad and Tobago,TTO,24880.73,263000
Tunisia,TUN,8873.88,2154095
Turkey,TUR,16850.26,6066182
Turkmenistan,TKM,8273.01,73000
Tuvalu,TUV,3059.34,2373
Uganda,UGA,1302.99,311050
Ukraine,UKR,6724.51,15665227
United Arab Emirates,ARE,82916.70,
United Kingdom,GBR,35308.48,58666727
United States,USA,47870.37,60414952
Uruguay,URY,14907.52,1064550
Uzbekistan,UZB,3557.25,643143
Vanuatu,VUT,2760.31,16818
Venezuela,VEN,15608.35,1177909
Vietnam,VNM,3633.79,
Yemen,YEM,3754.60,
Zambia,ZMB,2722.70,
Zimbabwe,ZWE,2024.67,524105
