entity,id,region,travel,ppp,passport,wheretolive,bankaccount,contract,outsidehome,outsidecountry
Albania,ALB,Central and Eastern Europe,1,4531.02,1,1,1,1,1,1
Armenia,ARM,Central and Eastern Europe,1,3914.5,1,1,1,1,1,1
Azerbaijan,AZE,Central and Eastern Europe,1,4147.09,1,1,1,1,1,1
Belarus,BLR,Central and Eastern Europe,1,5761.75,1,1,1,1,1,1
Bosnia and Herzegovina,BIH,Central and Eastern Europe,1,5394.59,1,1,1,1,1,1
Bulgaria,BGR,Central and Eastern Europe,1,8331.06,1,1,1,1,1,1
Croatia,HRV,Central and Eastern Europe,1,13412.34,1,1,1,1,1,1
Czech Republic,CZE,Central and Eastern Europe,1,20379.9,1,1,1,1,1,1
Estonia,EST,Central and Eastern Europe,1,20388.21,1,1,1,1,1,1
Georgia,GEO,Central and Eastern Europe,1,4357,1,1,1,1,1,1
Hungary,HUN,Central and Eastern Europe,1,14457.61,1,1,1,1,1,1
Kazakhstan,KAZ,Central and Eastern Europe,1,9247.58,1,1,1,1,1,1
Kosovo,XKX,Central and Eastern Europe,1,4045.61,1,1,1,1,1,1
Kyrgyzstan,KGZ,Central and Eastern Europe,1,1242.77,1,1,1,1,1,1
Latvia,LVA,Central and Eastern Europe,1,15586.58,1,1,1,1,1,1
Lithuania,LTU,Central and Eastern Europe,1,16882.64,1,1,1,1,1,1
Moldova,MDA,Central and Eastern Europe,1,3509.69,1,1,1,1,1,1
Montenegro,MNE,Central and Eastern Europe,1,7803.41,1,1,1,1,1,1
North Macedonia,MKD,Central and Eastern Europe,1,5430.87,1,1,1,1,1,1
Poland,POL,Central and Eastern Europe,1,13861.31,1,1,1,1,1,1
Romania,ROU,Central and Eastern Europe,1,10807.8,1,1,1,1,1,1
Russia,RUS,Central and Eastern Europe,1,10720.33,1,1,1,1,1,1
Serbia,SRB,Central and Eastern Europe,1,6284.19,1,1,1,1,1,1
Slovakia,SVK,Central and Eastern Europe,1,17554.31,1,1,1,1,1,1
Slovenia,SVN,Central and Eastern Europe,1,23500.75,1,1,1,1,1,1
Tajikistan,TJK,Central and Eastern Europe,1,806.04,1,1,1,1,1,1
Ukraine,UKR,Central and Eastern Europe,1,2640.68,1,1,1,1,1,1
Uzbekistan,UZB,Central and Eastern Europe,1,1826.57,1,1,1,1,1,1
China,CHN,Eastern Asia,1,8879.44,1,1,1,1,1,1
Hong Kong,HKG,Eastern Asia,1,46165.86,1,1,1,1,1,1
Japan,JPN,Eastern Asia,1,38386.51,1,1,1,1,1,1
Mongolia,MNG,Eastern Asia,1,3669.42,1,1,1,1,1,1
South Korea,KOR,Eastern Asia,1,31616.84,1,1,1,1,1,1
Antigua and Barbuda,ATG,Latin America and Caribbean,0.83,15383.42,1,0,1,1,1,1
Argentina,ARG,Latin America and Caribbean,1,14591.86,1,1,1,1,1,1
Bahamas,BHS,Latin America and Caribbean,1,31827.24,1,1,1,1,1,1
Barbados,BRB,Latin America and Caribbean,0.83,17391.43,0,1,1,1,1,1
Belize,BLZ,Latin America and Caribbean,0.83,4887.58,0,1,1,1,1,1
Bolivia,BOL,Latin America and Caribbean,1,3351.12,1,1,1,1,1,1
Brazil,BRA,Latin America and Caribbean,1,9925.39,1,1,1,1,1,1
Chile,CHL,Latin America and Caribbean,1,14999.37,1,1,1,1,1,1
Colombia,COL,Latin America and Caribbean,1,6377.85,1,1,1,1,1,1
Costa Rica,CRI,Latin America and Caribbean,1,11814.63,1,1,1,1,1,1
Dominica,DMA,Latin America and Caribbean,0.83,7274.72,0,1,1,1,1,1
Dominican Republic,DOM,Latin America and Caribbean,1,7609.34,1,1,1,1,1,1
Ecuador,ECU,Latin America and Caribbean,1,6213.5,1,1,1,1,1,1
El Salvador,SLV,Latin America and Caribbean,1,3910.26,1,1,1,1,1,1
Grenada,GRD,Latin America and Caribbean,0.83,10152.83,0,1,1,1,1,1
Guatemala,GTM,Latin America and Caribbean,1,4451.45,1,1,1,1,1,1
Guyana,GUY,Latin America and Caribbean,0.83,4586.05,0,1,1,1,1,1
Haiti,HTI,Latin America and Caribbean,0.67,765.73,0,0,1,1,1,1
Honduras,HND,Latin America and Caribbean,1,2453.73,1,1,1,1,1,1
Jamaica,JAM,Latin America and Caribbean,1,5069.18,1,1,1,1,1,1
Mexico,MEX,Latin America and Caribbean,1,9278.42,1,1,1,1,1,1
Nicaragua,NIC,Latin America and Caribbean,1,2159.16,1,1,1,1,1,1
Panama,PAN,Latin America and Caribbean,1,15150.35,1,1,1,1,1,1
Paraguay,PRY,Latin America and Caribbean,1,5680.58,1,1,1,1,1,1
Peru,PER,Latin America and Caribbean,1,6710.51,1,1,1,1,1,1
Puerto Rico,PRI,Latin America and Caribbean,1,31108.75,1,1,1,1,1,1
St. Kitts and Nevis,KNA,Latin America and Caribbean,1,19155.29,1,1,1,1,1,1
St. Lucia,LCA,Latin America and Caribbean,0.83,11047.44,0,1,1,1,1,1
St. Vincent and the Grenadines,VCT,Latin America and Caribbean,0.83,7212.96,0,1,1,1,1,1
Suriname,SUR,Latin America and Caribbean,1,5626.8,1,1,1,1,1,1
Trinidad and Tobago,TTO,Latin America and Caribbean,0.83,16238.19,0,1,1,1,1,1
Uruguay,URY,Latin America and Caribbean,1,17322.15,1,1,1,1,1,1
Venezuela,VEN,Latin America and Caribbean,1,0,1,1,1,1,1,1
Algeria,DZA,Middle East and Northern Africa,0.83,4044.28,0,1,1,1,1,1
Bahrain,BHR,Middle East and Northern Africa,0.67,23709.43,1,0,1,1,0,1
Egypt,EGY,Middle East and Northern Africa,0.67,2440.51,0,1,1,1,0,1
Iran,IRN,Middle East and Northern Africa,0.33,5520.31,0,0,1,1,0,0
Iraq,IRQ,Middle East and Northern Africa,0.5,5205.29,1,0,1,1,0,0
Israel,ISR,Middle East and Northern Africa,1,40541.86,1,1,1,1,1,1
Jordan,JOR,Middle East and Northern Africa,0.33,4162.82,0,0,1,1,0,0
Kuwait,KWT,Middle East and Northern Africa,0.67,29759.44,1,0,1,1,0,1
Lebanon,LBN,Middle East and Northern Africa,1,7801.18,1,1,1,1,1,1
Libya,LBY,Middle East and Northern Africa,0.83,5756.7,0,1,1,1,1,1
Morocco,MAR,Middle East and Northern Africa,1,3036.33,1,1,1,1,1,1
Oman,OMN,Middle East and Northern Africa,0.33,15130.94,0,0,1,1,0,0
Qatar,QAT,Middle East and Northern Africa,0.5,61264.4,1,0,1,1,0,0
Saudi Arabia,SAU,Middle East and Northern Africa,0.33,20803.74,0,0,1,1,0,0
Syria,SYR,Middle East and Northern Africa,0.5,0,1,0,1,1,0,0
Tunisia,TUN,Middle East and Northern Africa,1,3481.23,1,1,1,1,1,1
Turkey,TUR,Middle East and Northern Africa,1,10513.65,1,1,1,1,1,1
United Arab Emirates,ARE,Middle East and Northern Africa,0.33,40644.8,0,0,1,1,0,0
West Bank and Gaza,PSE,Middle East and Northern Africa,0.5,3254.49,1,0,1,1,0,0
Yemen,YEM,Middle East and Northern Africa,0.5,882.4,0,0,1,1,0,1
Canada,CAN,North America,1,45148.55,1,1,1,1,1,1
United States,USA,North America,1,59957.73,1,1,1,1,1,1
Australia,AUS,Oceania,1,54066.47,1,1,1,1,1,1
Fiji,FJI,Oceania,0.83,6101.03,0,1,1,1,1,1
Kiribati,KIR,Oceania,1,1640.5,1,1,1,1,1,1
Maldives,MDV,Oceania,1,9540.63,1,1,1,1,1,1
Marshall Islands,MHL,Oceania,1,3666.7,1,1,1,1,1,1
"Micronesia, Fed. Sts.",FSM,Oceania,1,3289.7,1,1,1,1,1,1
New Zealand,NZL,Oceania,1,42849.43,1,1,1,1,1,1
Palau,PLW,Oceania,1,16078.27,1,1,1,1,1,1
Papua New Guinea,PNG,Oceania,0.83,2695.25,0,1,1,1,1,1
Samoa,WSM,Oceania,0.83,4258.49,0,1,1,1,1,1
Solomon Islands,SLB,Oceania,0.83,2059.05,0,1,1,1,1,1
Tonga,TON,Oceania,1,4217.48,1,1,1,1,1,1
Vanuatu,VUT,Oceania,0.83,3082.36,1,0,1,1,1,1
