,longitude,latitude,TOT,CR,TIME,MO,YR
11445,-73.815096691856,40.730042983825,1,GRAND LARCENY,08/18/2013,8,2013
28999,-73.952908646328,40.712911787046,1,BURGLARY,12/13/2013,12,2013
47769,-73.965113813189,40.639836513136004,1,GRAND LARCENY,03/30/2013,3,2013
41099,-73.940220588697,40.686660435376,1,FELONY ASSAULT,10/08/2013,10,2013
5526,-74.01374696977,40.643527230173,1,FELONY ASSAULT,01/12/2013,1,2013
80610,-73.93018764409601,40.678047177018,1,GRAND LARCENY,09/28/2013,9,2013
61115,-73.852676931635,40.825408292824996,1,FELONY ASSAULT,03/03/2013,3,2013
30888,-74.01304006111201,40.621802314197,1,GRAND LARCENY OF MOTOR VEHICLE,12/07/2013,12,2013
56956,-73.867258463997,40.831623571388,1,ROBBERY,01/29/2013,1,2013
18412,-73.951892283792,40.781697521142,1,BURGLARY,01/14/2013,1,2013
76584,-73.98941364247,40.731659396741,2,GRAND LARCENY,05/25/2013,5,2013
5076,-73.989264251756,40.718300649205,1,ROBBERY,01/25/2013,1,2013
73877,-73.913423174217,40.833550340775,1,GRAND LARCENY,02/18/2013,2,2013
61404,-74.139354012407,40.572633306972996,1,GRAND LARCENY,01/27/2013,1,2013
9619,-73.821386178599,40.752705388805,1,ROBBERY,06/03/2013,6,2013
36918,-73.826013725271,40.730438773509,1,GRAND LARCENY OF MOTOR VEHICLE,06/02/2013,6,2013
74798,-73.905795499895,40.817649705835,1,ROBBERY,03/07/2013,3,2013
92679,-73.997422963793,40.659203475579,1,GRAND LARCENY,08/29/2013,8,2013
50853,-73.90738435898,40.654664775906,1,GRAND LARCENY,05/22/2013,5,2013
36178,-73.997531432164,40.747387284432,1,GRAND LARCENY OF MOTOR VEHICLE,07/28/2013,7,2013
85788,-73.895719944394,40.658159879642,1,GRAND LARCENY,08/10/2013,8,2013
43325,-73.981882427206,40.589262070777,1,ROBBERY,01/20/2013,1,2013
37483,-73.891550624123,40.863891049338996,1,GRAND LARCENY,08/03/2013,8,2013
24954,-73.941224221275,40.836609000413,1,BURGLARY,07/04/2013,7,2013
42687,-73.813532597992,40.726815366048,1,GRAND LARCENY,12/20/2013,12,2013
48214,-73.916614639643,40.810024965586,1,BURGLARY,05/20/2013,5,2013
54803,-73.957176948503,40.688830874172,1,GRAND LARCENY,10/01/2013,10,2013
94337,-73.90136148197699,40.750125506182,1,GRAND LARCENY OF MOTOR VEHICLE,09/22/2013,9,2013
13622,-74.010018907716,40.629230019631,1,GRAND LARCENY,10/23/2013,10,2013
30839,-73.894871208748,40.82393664993,1,ROBBERY,12/04/2013,12,2013
80757,-73.813182404098,40.675416196361,1,ROBBERY,09/20/2013,9,2013
50725,-73.813313828647,40.730210282376,1,FELONY ASSAULT,06/11/2013,6,2013
11640,-74.011345511578,40.718920906412,1,GRAND LARCENY,09/23/2013,9,2013
58481,-73.95647400336,40.771390109565,1,GRAND LARCENY,08/09/2013,8,2013
53589,-73.824297648872,40.680651533235,1,GRAND LARCENY OF MOTOR VEHICLE,09/02/2013,9,2013
75076,-73.91342128551,40.773907431836,1,BURGLARY,01/28/2013,1,2013
4646,-73.905387055394,40.667854567476,1,GRAND LARCENY OF MOTOR VEHICLE,07/07/2013,7,2013
96095,-73.770869518753,40.76339737293,1,GRAND LARCENY,11/08/2013,11,2013
53115,-73.821546711051,40.830206006749,1,BURGLARY,09/15/2013,9,2013
64438,-73.92004575050801,40.696323502070996,1,GRAND LARCENY OF MOTOR VEHICLE,05/23/2013,5,2013
87956,-73.89424805410499,40.863649274874,1,GRAND LARCENY,09/15/2013,9,2013
11772,-73.993676483599,40.714823364686,1,ROBBERY,10/21/2013,10,2013
32181,-73.736139836584,40.691119180586,1,ROBBERY,01/27/2013,1,2013
82729,-74.108996276137,40.635080091011,1,BURGLARY,12/20/2013,12,2013
49090,-73.828570561732,40.677652445928004,5,GRAND LARCENY,04/10/2013,4,2013
88992,-73.877873202493,40.842551023569996,1,FELONY ASSAULT,05/30/2013,5,2013
43043,-73.892583201266,40.741658330726,1,BURGLARY,11/27/2013,11,2013
56007,-73.948467462816,40.578615835502,1,BURGLARY,12/17/2013,12,2013
18841,-73.858640219315,40.834945414464,1,GRAND LARCENY OF MOTOR VEHICLE,01/22/2013,1,2013
9654,-73.971118837905,40.635001863649,1,ROBBERY,05/16/2013,5,2013
