years,place,lat,lon
3,Big Bend National Park,29.2499017,-103.2501638
3,Central Idaho Dark Sky Reserve ,44,-114.833333
3,Cherry Springs State Park ,41.6628445,-77.8230494
3,Death Valley National Park ,36.4832796,-117.1008929
3,Glacier National Park,48.759613,-113.787023
3,Grand Canyon National Park ,36.056595,-112.125092
3,Great Basin National Park ,38.9349473,-114.244439
3,Great Sands Dune National Park,37.7544451,-105.5591796
3,Katahdin Woods and Waters National Monument ,45.970362,-68.619336
3,Stephen C. Foster State Park ,30.821916,-82.364845
