place,latitude,longitude,State
Grand Canyon National Park ,36.056595,-112.125092,Arizona
Death Valley National Park ,36.4832796,-117.1008929,California
Great Sands Dune National Park,37.7544451,-105.5591796,Colorado
Stephen C. Foster State Park ,30.821916,-82.364845,Georgia
Central Idaho Dark Sky Reserve ,44,-114.833333,Idaho
Katahdin Woods and Waters National Monument ,45.970362,-68.619336,Maine
Glacier National Park,48.759613,-113.787023,Montana
Great Basin National Park ,38.9349473,-114.244439,Nevada
Cherry Springs State Park ,41.6628445,-77.8230494,Pennsylvania
Big Bend National Park,29.2499017,-103.2501638,Texas
