Planet Name,Host Name,Planet Letter,Number of Stars,Number of Planets,Number of Moons,Discovery Method,Discovery Year,Discovery Publication Date,Discovery Locale,Discovery Facility,Discovery Telescope,Discovery Instrument
24 Sex b,24 Sex,b,1,2,0,Radial Velocity,2010,2011-01,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph
24 Sex c,24 Sex,c,1,2,0,Radial Velocity,2010,2011-01,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph
2MASS J04414489+2301513 b,2MASS J04414489+2301513,b,1,1,0,Imaging,2010,2010-05,Space,Hubble Space Telescope,2.4 m Hubble Space Telescope,WFPC2 Camera
CoRoT-10 b,CoRoT-10,b,1,1,0,Transit,2010,2010-09,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array
CoRoT-11 b,CoRoT-11,b,1,1,0,Transit,2010,2010-12,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array
CoRoT-12 b,CoRoT-12,b,1,1,0,Transit,2010,2010-09,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array
CoRoT-13 b,CoRoT-13,b,1,1,0,Transit,2010,2010-11,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array
CoRoT-14 b,CoRoT-14,b,1,1,0,Transit,2010,2011-04,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array
CoRoT-8 b,CoRoT-8,b,1,1,0,Transit,2010,2010-09,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array
GJ 1148 b,GJ 1148,b,1,2,0,Radial Velocity,2010,2010-05,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer
GJ 3634 b,GJ 3634,b,1,1,0,Radial Velocity,2010,2011-04,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
GJ 676 A b,GJ 676 A,b,2,4,0,Radial Velocity,2010,2011-02,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
GJ 876 e,GJ 876,e,1,4,0,Radial Velocity,2010,2010-08,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer
GSC 06214-00210 b,GSC 06214-00210,b,1,1,0,Imaging,2010,2011-01,Ground,Palomar Observatory,5.1 m Hale Telescope,PHARO Camera
HAT-P-14 b,HAT-P-14,b,2,1,0,Transit,2010,2010-05,Ground,HATNet,Canon 200mm f/1.8L,2K CCD Sensor
HAT-P-15 b,HAT-P-15,b,1,1,0,Transit,2010,2010-12,Ground,HATNet,Canon 200mm f/1.8L,2K CCD Sensor
HAT-P-16 b,HAT-P-16,b,3,1,0,Transit,2010,2010-09,Ground,HATNet,Canon 200mm f/1.8L,2K CCD Sensor
HAT-P-17 b,HAT-P-17,b,1,2,0,Transit,2010,2012-04,Ground,HATNet,Canon 200mm f/1.8L,2K CCD Sensor
HAT-P-17 c,HAT-P-17,c,1,2,0,Radial Velocity,2010,2012-04,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer
HAT-P-18 b,HAT-P-18,b,1,1,0,Transit,2010,2011-01,Ground,HATNet,Canon 200mm f/1.8L,2K CCD Sensor
HAT-P-19 b,HAT-P-19,b,1,1,0,Transit,2010,2011-01,Ground,HATNet,Canon 200mm f/1.8L,2K CCD Sensor
HAT-P-20 b,HAT-P-20,b,1,1,0,Transit,2010,2011-12,Ground,HATNet,Canon 200mm f/1.8L,2K CCD Sensor
HAT-P-21 b,HAT-P-21,b,1,1,0,Transit,2010,2011-12,Ground,HATNet,Canon 200mm f/1.8L,2K CCD Sensor
HAT-P-22 b,HAT-P-22,b,2,1,0,Transit,2010,2011-12,Ground,HATNet,Canon 200mm f/1.8L,2K CCD Sensor
HAT-P-23 b,HAT-P-23,b,1,1,0,Transit,2010,2011-12,Ground,HATNet,Canon 200mm f/1.8L,2K CCD Sensor
HAT-P-24 b,HAT-P-24,b,2,1,0,Transit,2010,2010-12,Ground,HATNet,Canon 200mm f/1.8L,2K CCD Sensor
HAT-P-25 b,HAT-P-25,b,1,1,0,Transit,2010,2012-01,Ground,HATNet,Canon 200mm f/1.8L,2K CCD Sensor
HAT-P-26 b,HAT-P-26,b,1,1,0,Transit,2010,2011-02,Ground,HATNet,Canon 200mm f/1.8L,2K CCD Sensor
HD 10180 c,HD 10180,c,1,6,0,Radial Velocity,2010,2011-04,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
HD 10180 d,HD 10180,d,1,6,0,Radial Velocity,2010,2011-04,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
HD 10180 e,HD 10180,e,1,6,0,Radial Velocity,2010,2011-04,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
HD 10180 f,HD 10180,f,1,6,0,Radial Velocity,2010,2011-04,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
HD 10180 g,HD 10180,g,1,6,0,Radial Velocity,2010,2011-04,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
HD 10180 h,HD 10180,h,1,6,0,Radial Velocity,2010,2011-04,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
HD 102365 b,HD 102365,b,2,1,0,Radial Velocity,2010,2011-02,Ground,Anglo-Australian Telescope,3.9 m Anglo-Australian Telescope,UCLES Spectrograph
HD 102956 b,HD 102956,b,2,1,0,Radial Velocity,2010,2010-10,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer
HD 109246 b,HD 109246,b,1,1,0,Radial Velocity,2010,2010-11,Ground,Haute-Provence Observatory,1.93 m Telescope,SOPHIE Spectrograph
HD 113538 b,HD 113538,b,1,2,0,Radial Velocity,2010,2011-03,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
HD 113538 c,HD 113538,c,1,2,0,Radial Velocity,2010,2011-03,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
HD 145457 b,HD 145457,b,1,1,0,Radial Velocity,2010,2010-08,Ground,Subaru Telescope,8.2 m Subaru Telescope,HDS Spectrograph
HD 1461 b,HD 1461,b,1,2,0,Radial Velocity,2010,2010-01,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer
HD 156668 b,HD 156668,b,1,1,0,Radial Velocity,2010,2011-01,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer
HD 163607 b,HD 163607,b,1,2,0,Radial Velocity,2010,2012-01,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer
HD 163607 c,HD 163607,c,1,2,0,Radial Velocity,2010,2012-01,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer
HD 164509 b,HD 164509,b,2,1,0,Radial Velocity,2010,2012-01,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer
HD 1690 b,HD 1690,b,1,1,0,Radial Velocity,2010,2011-03,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
HD 177830 c,HD 177830,c,2,2,0,Radial Velocity,2010,2011-02,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer
HD 180314 b,HD 180314,b,1,1,0,Radial Velocity,2010,2010-08,Ground,Subaru Telescope,8.2 m Subaru Telescope,HDS Spectrograph
HD 200964 b,HD 200964,b,1,2,0,Radial Velocity,2010,2011-01,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph
HD 200964 c,HD 200964,c,1,2,0,Radial Velocity,2010,2011-01,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph
HD 204313 b,HD 204313,b,1,2,0,Radial Velocity,2010,2010-02,Ground,La Silla Observatory,1.2 m Leonhard Euler Telescope,CORALIE Spectrograph
HD 218566 b,HD 218566,b,1,1,0,Radial Velocity,2010,2011-02,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer
HD 25171 b,HD 25171,b,2,1,0,Radial Velocity,2010,2011-03,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
HD 28254 b,HD 28254,b,2,1,0,Radial Velocity,2010,2010-11,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
HD 31253 b,HD 31253,b,1,1,0,Radial Velocity,2010,2011-02,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer
HD 38283 b,HD 38283,b,1,1,0,Radial Velocity,2010,2011-05,Ground,Anglo-Australian Telescope,3.9 m Anglo-Australian Telescope,UCLES Spectrograph
HD 43197 b,HD 43197,b,1,1,0,Radial Velocity,2010,2010-11,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
HD 44219 b,HD 44219,b,1,1,0,Radial Velocity,2010,2010-11,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
HD 8535 b,HD 8535,b,2,1,0,Radial Velocity,2010,2010-11,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
HD 97658 b,HD 97658,b,1,1,0,Radial Velocity,2010,2011-03,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer
HIP 12961 b,HIP 12961,b,1,1,0,Radial Velocity,2010,2011-02,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
HIP 78530 b,HIP 78530,b,1,1,0,Imaging,2010,2011-03,Ground,Gemini Observatory,8.19 m Gemini North Telescope,NIRI Camera
HR 8799 e,HR 8799,e,1,4,0,Imaging,2010,2010-12,Ground,W. M. Keck Observatory,10 m Keck II Telescope,NIRC2 Camera
KOI-217 b,KOI-217,b,1,1,0,Transit,2010,2010-12,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-11 b,Kepler-11,b,1,6,0,Transit,2010,2011-02,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-11 c,Kepler-11,c,1,6,0,Transit,2010,2011-02,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-11 d,Kepler-11,d,1,6,0,Transit,2010,2011-02,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-11 e,Kepler-11,e,1,6,0,Transit,2010,2011-02,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-11 f,Kepler-11,f,1,6,0,Transit,2010,2011-02,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-11 g,Kepler-11,g,1,6,0,Transit,2010,2011-02,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-40 b,Kepler-40,b,1,1,0,Transit,2010,2011-04,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-8 b,Kepler-8,b,1,1,0,Transit,2010,2010-12,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-9 b,Kepler-9,b,1,3,0,Transit,2010,2010-10,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-9 c,Kepler-9,c,1,3,0,Transit,2010,2010-10,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-9 d,Kepler-9,d,1,3,0,Transit,2010,2011-01,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
MOA-2009-BLG-319L b,MOA-2009-BLG-319L,b,1,1,0,Microlensing,2010,2011-02,Ground,MOA,1.8 m MOA Telescope,MOA CCD Array
MOA-2009-BLG-387L b,MOA-2009-BLG-387L,b,1,1,0,Microlensing,2010,2011-05,Ground,MOA,1.8 m MOA Telescope,MOA CCD Array
NN Ser c,NN Ser,c,2,2,0,Eclipse Timing Variations,2010,2010-10,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments
NN Ser d,NN Ser,d,2,2,0,Eclipse Timing Variations,2010,2010-10,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments
Qatar-1 b,Qatar-1,b,1,1,0,Transit,2010,2011-10,Ground,Qatar,Canon 400mm f/2.8L,FLI ProLine 4K CCD Sensor
Ross 458 c,Ross 458,c,2,1,0,Imaging,2010,2010-12,Ground,Las Campanas Observatory,6.5 m Magellan I Baade Telescope,FIRE Spectrograph
SR 12 AB c,SR 12 AB,c,2,1,0,Imaging,2010,2011-04,Ground,Infrared Survey Facility,1.4 m IRSF Telescope,SIRIUS Camera
WASP-21 b,WASP-21,b,1,1,0,Transit,2010,2010-09,Ground,SuperWASP,Canon 200mm f/1.8L,iKon-L CCD Camera
WASP-22 b,WASP-22,b,1,1,0,Transit,2010,2010-12,Ground,SuperWASP,Canon 200mm f/1.8L,iKon-L CCD Camera
WASP-23 b,WASP-23,b,1,1,0,Transit,2010,2011-07,Ground,SuperWASP,Canon 200mm f/1.8L,iKon-L CCD Camera
WASP-24 b,WASP-24,b,3,1,0,Transit,2010,2010-09,Ground,SuperWASP,Canon 200mm f/1.8L,iKon-L CCD Camera
