country,code,year,population,continent,gdp-per-capita,departures,happiness-score
Iceland,ISL,2015,330000,Europe,43048.12515,450000,7.561
Malta,MLT,2015,434000,Europe,34087.08151,428000,6.302
Suriname,SUR,2015,559000,South America,14766.79918,,6.269
Luxembourg,LUX,2015,567000,Europe,94088.59223,1452000,6.946
Montenegro,MNE,2015,627000,Europe,15289.72119,,5.192
Bhutan,BTN,2015,728000,Asia,7743.337996,,5.253
Comoros,COM,2015,777000,Africa,1413.059277,,3.956
Djibouti,DJI,2015,914000,Africa,,,4.369
Swaziland,SWZ,2015,1104000,Africa,7758.495563,1713000,4.867
Cyprus,CYP,2015,1161000,Europe,30549.10097,1119000,5.689
Mauritius,MUS,2015,1259000,Africa,18864.10566,242000,5.477
Estonia,EST,2015,1315000,Europe,27549.58137,1250000,5.429
Trinidad and Tobago,TTO,2015,1370000,North America,31524.58862,,6.168
Bahrain,BHR,2015,1372000,Asia,43926.47404,4741000,5.96
Gabon,GAB,2015,1948000,Africa,16836.78342,,3.896
Latvia,LVA,2015,1998000,Europe,23018.81611,1720000,5.098
Lesotho,LSO,2015,2059000,Africa,2708.148539,,4.898
Slovenia,SVN,2015,2071000,Europe,29037.74168,2867000,5.848
Macedonia,MKD,2015,2079000,Europe,12759.8166,,5.007
Botswana,BWA,2015,2121000,Africa,15356.77092,,4.332
Qatar,QAT,2015,2566000,Asia,119749.4285,,6.611
Albania,ALB,2015,2891000,Europe,10970.45224,4504000,4.959
Jamaica,JAM,2015,2891000,North America,8095.261867,,5.709
Armenia,ARM,2015,2926000,Asia,8195.93365,1187000,4.35
Lithuania,LTU,2015,2932000,Europe,27045.71302,1860000,5.833
Mongolia,MNG,2015,2998000,Asia,11411.94211,,4.874
Uruguay,URY,2015,3412000,South America,19831.4459,2217000,6.485
Bosnia and Herzegovina,BIH,2015,3429000,Europe,10932.45948,,4.949
Kuwait,KWT,2015,3836000,Asia,68476.32504,,6.295
Panama,PAN,2015,3968000,North America,20786.65969,740000,6.786
Georgia,GEO,2015,4024000,Asia,9025.133143,3136000,4.297
Mauritania,MRT,2015,4046000,Africa,3601.614223,,4.436
Moldova,MDA,2015,4071000,Europe,4746.784911,189800,5.889
Croatia,HRV,2015,4233000,Europe,20983.98528,2578000,5.759
Oman,OMN,2015,4267000,Asia,39873.3856,3838000,6.853
Liberia,LBR,2015,4472000,Africa,785.2468867,,4.571
Central African Republic,CAF,2015,4493000,Africa,621.5698429,,3.678
New Zealand,NZL,2015,4615000,Oceania,35309.82372,2412000,7.286
Ireland,IRL,2015,4652000,Europe,60818.04624,7094000,6.94
Costa Rica,CRI,2015,4848000,North America,14738.60762,919000,7.226
Norway,NOR,2015,5200000,Europe,64008.28683,8750000,7.522
Slovakia,SVK,2015,5436000,Europe,28308.87977,2777000,5.995
Finland,FIN,2015,5481000,Europe,38941.7636,8904000,7.406
Turkmenistan,TKM,2015,5565000,Asia,14992.32314,,5.548
Singapore,SGP,2015,5592000,Asia,81741.09694,9125000,6.798
Denmark,DNK,2015,5689000,Europe,45458.69715,8991000,7.527
Kyrgyzstan,KGZ,2015,5959000,Asia,3237.602937,1720000,5.286
Nicaragua,NIC,2015,6223000,North America,4956.921298,925000,5.828
El Salvador,SLV,2015,6325000,North America,7019.591789,1618000,6.13
Libya,LBY,2015,6418000,Africa,14847.19705,,5.754
Lebanon,LBN,2015,6533000,Asia,13352.71339,,4.839
Paraguay,PRY,2015,6689000,South America,8639.28685,1008000,5.878
Laos,LAO,2015,6741000,Asia,5755.059505,3067000,4.876
Sierra Leone,SLE,2015,7172000,Africa,1314.273728,61000,4.507
Hong Kong,HKG,2015,7186000,Asia,53591.83582,89082000,5.474
Bulgaria,BGR,2015,7200000,Europe,17000.17804,4632000,4.218
Togo,TGO,2015,7323000,Africa,1351.053963,,2.839
