Name,Status,Fall,Year,Place,Occurrence,,Type,Mass,MetBull
Scarham Creek **,Official,,2015,Alabama,1, USA,H3,52.1 g,107
Waverly **,Official,,1983,Alabama,1, USA,"Iron, IAB-an",4.4 kg,63
Guin **,Official,,1969,Alabama,1, USA,"Iron, ungrouped",34.5 kg,62
Ider,Official,,1957,Alabama,1, USA,"Iron, IIIAB",140 kg,
Sylacauga **,Official,Y,1954,Alabama,1, USA,H4,5.56 kg,8
Carver **,Official,,1935,Alabama,1, USA,"Iron, IIAB",94 kg,59
Athens,Official,Y,1933,Alabama,1, USA,LL6,265 g,
Leighton,Official,Y,1907,Alabama,1, USA,H5,877 g,
Selma,Official,,1906,Alabama,1, USA,H4,140.6 kg,
Felix,Official,Y,1900,Alabama,1, USA,CO3.3,3.2 kg,
Summit,Official,,1890,Alabama,1, USA,"Iron, IIAB",1000 g,
Chulafinnee,Official,,1873,Alabama,1, USA,"Iron, IIIAB",16.22 kg,
Danville,Official,Y,1868,Alabama,1, USA,L6,2 kg,
Frankfort (stone),Official,Y,1868,Alabama,1, USA,Howardite,650 g,
Auburn,Official,,1867,Alabama,1, USA,"Iron, IIG",3.63 kg,
Tombigbee River,Official,,1859,Alabama,1, USA,"Iron, IIG",43 kg,
Lime Creek,Official,,1834,Alabama,1, USA,"Iron, IAB-ung",20 kg,
Walker County,Official,,1832,Alabama,1, USA,"Iron, IIAB",74.8 kg,
Hope Creek **,Official,,1998,Alaska,1, USA,LL6,9.83 kg,84
Aggie Creek,Official,,1942,Alaska,1, USA,"Iron, IIIAB",43 kg,
Cold Bay,Official,,1921,Alaska,1, USA,"Pallasite, PES",320 g,
Chilkoot,Official,,1881,Alaska,1, USA,"Iron, IIIAB",43 kg,
Utting **,Official,,2020,Arizona,1, USA,H4,2.2 kg,109†
Willcox Playa 011 **,Official,,2018,Arizona,1, USA,L6,41 g,107
Scottsdale **,Official,,2017,Arizona,1, USA,LL3,211 g,107
Dishchii'bikoh **,Official,Yc,2016,Arizona,1, USA,LL7,79.5 g,106
Mohave Mountains **,Official,,2016,Arizona,1, USA,L6,613 g,106
Old Camp Wash **,Official,,2015,Arizona,1, USA,L6,18.08 kg,104
Cragin Reservoir **,Official,,2014,Arizona,1, USA,H5,72 g,106
Parker **,Official,,2014,Arizona,1, USA,H5,17.6 g,105
Yucca 049 **,Official,,2014,Arizona,1, USA,H3-5,20.8 g,107
Yucca 031 **,Official,,2013,Arizona,1, USA,H6,34.3 g,104
Bullhead City **,Official,,2012,Arizona,1, USA,L6,4.97 kg,104
Gila Mountains **,Official,,2012,Arizona,1, USA,H4,3.85 kg,103
Yucca 048 **,Official,,2012,Arizona,1, USA,H3-6,20.9 g,107
Golden Gate Mountain **,Official,,2011,Arizona,1, USA,H4,16.7 g,109†
Griffith Wash **,Official,,2011,Arizona,1, USA,L6,93 g,100
Powell Peak 001,Official,,2011,Arizona,1, USA,H6,42.8 g,100
Yucca 015 **,Official,,2011,Arizona,1, USA,H-metal,3 g,102
Yucca 016 **,Official,,2011,Arizona,1, USA,H5,25.9 g,102
Yucca 017 **,Official,,2011,Arizona,1, USA,H5,200 g,102
Yucca 027 **,Official,,2011,Arizona,1, USA,H-metal,1.3 g,102
Yucca 028 **,Official,,2011,Arizona,1, USA,H6,0.8 g,102
Yucca 029 **,Official,,2011,Arizona,1, USA,H3,60.4 g,102
Yucca 030 **,Official,,2011,Arizona,1, USA,H-metal,0.8 g,103
Yucca 044 **,Official,,2011,Arizona,1, USA,H4,3.2 kg,105
Yucca 045 **,Official,,2011,Arizona,1, USA,H3-6,39.7 g,107
Yucca 046 **,Official,,2011,Arizona,1, USA,H3-5,11.1 g,107
Yucca 047 **,Official,,2011,Arizona,1, USA,H3-6,11.9 g,107
Yucca 050 **,Official,,2011,Arizona,1, USA,H3-5,34.3 g,107
Yucca 051 **,Official,,2011,Arizona,1, USA,H6,27.8 g,107
Yucca 052 **,Official,,2011,Arizona,1, USA,H3-5,23.3 g,107
Aubrey Hills **,Official,,2010,Arizona,1, USA,H6,561 g,101
Nothing **,Official,,2010,Arizona,1, USA,"Iron, IID",3.7 kg,102
Red Dry Lake 071,Official,,2010,Arizona,1, USA,H6,4.35 g,99
Tank Mountains **,Official,,2010,Arizona,1, USA,L6,8.05 kg,105
Camp Creek,Official,,2009,Arizona,1, USA,H4,3.02 kg,99
Chandler,Official,,2009,Arizona,1, USA,L6,350 g,99
Galleta Flat,Official,,2009,Arizona,1, USA,H4,392 g,99
Red Dry Lake 067 **,Official,,2009,Arizona,1, USA,L3.4,6.2 g,99
Red Dry Lake 079 **,Official,,2009,Arizona,1, USA,L5,2.8 g,108†
Whetstone Mountains **,Official,Y,2009,Arizona,1, USA,H5,2.14 kg,99
Willcox Playa 009 **,Official,,2009,Arizona,1, USA,Mesosiderite,160 g,99
Boulder Mine,Official,,2008,Arizona,1, USA,L5,1560 g,99
Laughlin,Official,,2008,Arizona,1, USA,H5,10 g,99
Oldman Mountain **,Official,,2008,Arizona,1, USA,H5,199 g,101
Powell Peak 002,Official,,2008,Arizona,1, USA,L4,1062 g,100
Red Dry Lake 068,Official,,2008,Arizona,1, USA,H4,26.2 g,99
Thumb Butte,Official,,2008,Arizona,1, USA,H3.8,105 g,100
Buck Mountains 005 **,Official,,2007,Arizona,1, USA,L6,860 g,100
Desert Willow,Official,,2007,Arizona,1, USA,H4/5,11.3 g,95
